      NC_chrom     start      stop            EN_gene score percent
1  NC_051063.1  24532748  25637972 ENSMUSG00000052920  2005    99.8
2  NC_051063.1  33333760  33335155 ENSMUSG00000033717  1353    98.5
3  NC_051063.1  47316420  47393308 ENSMUSG00000048120  1166    89.2
4  NC_051063.1  55227814  55244381 ENSMUSG00000024965  1878    97.5
5  NC_051063.1  61559797  61573032 ENSMUSG00000000244   558    87.0
6  NC_051063.1 124283240 124306626 ENSMUSG00000030534  1772    98.6
7  NC_051063.1 169409065 169440578 ENSMUSG00000002602  2403    95.6
8  NC_051063.1 169614385 169881171 ENSMUSG00000074272   426    68.5
9  NC_051063.1 172376587 172378475 ENSMUSG00000002985   725    90.3
10 NC_051063.1 172565986 172566574 ENSMUSG00000057667   472    92.3
11 NC_051064.1  26890119  26953889 ENSMUSG00000042228  1467    98.2
12 NC_051064.1  75258543  75265358 ENSMUSG00000039005  1385    79.0
13 NC_051064.1 119893574 119907636 ENSMUSG00000006389  1528    91.0
14 NC_051064.1 142943613 142953496 ENSMUSG00000058579   529    84.1
15 NC_051064.1 144434445 144477401 ENSMUSG00000028583   180    77.3
16 NC_051065.1 145644011 145778176 ENSMUSG00000001930  6817    91.1
17 NC_051065.1 145839492 145872832 ENSMUSG00000030342   581    93.4
18 NC_051065.1 146598139 146610533 ENSMUSG00000004266  1649    96.8
19 NC_051066.1   6484572   6540728 ENSMUSG00000026797  1779    99.9
20 NC_051066.1  14740177  14745361 ENSMUSG00000015085  1221    91.5
21 NC_051066.1  67369150  67380468 ENSMUSG00000027249  1415    90.4
22 NC_051066.1  95478064  95703289 ENSMUSG00000027298  2338    94.8
23 NC_051066.1 103400193 103401552 ENSMUSG00000058620  1129    92.5
24 NC_051066.1 104805645 104913043 ENSMUSG00000014361  2393    92.3
25 NC_051066.1 142040939 142091437 ENSMUSG00000027523  2496    88.9
26 NC_051067.1  11747291  11791606 ENSMUSG00000021457  1714    96.6
27 NC_051067.1  57656072  57736608 ENSMUSG00000026778  1933    96.0
28 NC_051067.1  86134155  86134809 ENSMUSG00000031778   319    74.8
29 NC_051067.1 116121428 116264516 ENSMUSG00000053399  3194    94.4
30 NC_051068.1  29989099  30063006 ENSMUSG00000027737  1373    96.1
31 NC_051068.1  38723754  38724783 ENSMUSG00000036353   897    93.6
32 NC_051068.1  40048445  40049564 ENSMUSG00000027765  1041    96.6
33 NC_051068.1  40346305  40346854 ENSMUSG00000036894   549   100.0
34 NC_051068.1  59899992  59906456 ENSMUSG00000033860  1065    90.8
35 NC_051068.1  59916010  59922747 ENSMUSG00000028001  1463    86.0
36 NC_051068.1  59931900  59939272 ENSMUSG00000033831  1207    93.1
37 NC_051068.1  66007838  66017666 ENSMUSG00000028073  2398    89.9
38 NC_051068.1  83230350  83278127 ENSMUSG00000027882  1647    97.5
39 NC_051069.1  32303342  32448708 ENSMUSG00000032020  1871    99.3
40 NC_051069.1  87516378  87584649 ENSMUSG00000032462  2990    98.0
41 NC_051069.1 113046318 113049717 ENSMUSG00000071866   476    98.8
42 NC_051070.1  52657182  52672377 ENSMUSG00000022099  1145    98.5
43 NC_051070.1  59782587  59798849 ENSMUSG00000014453  1321    94.7
44 NC_051070.1 109980491 109994717 ENSMUSG00000021948  1736    93.9
45 NC_051071.1    231248    232622 ENSMUSG00000045318  1320    98.1
46 NC_051071.1   1725264   1725909 ENSMUSG00000060708   531    91.2
47 NC_051071.1  17952553  17987626 ENSMUSG00000020120   951    96.2
48 NC_051071.1  59537672  59583637 ENSMUSG00000054892  1262    91.2
49 NC_051071.1  59603837  59674288 ENSMUSG00000029217  1773    98.4
50 NC_051071.1  62059031  62093335 ENSMUSG00000029231  2995    96.3
51 NC_051071.1  77157825  77158508 ENSMUSG00000029373   201    82.4
52 NC_051072.1  53102914  53117101 ENSMUSG00000048376   981    88.8
53 NC_051073.1  72603276  72613573 ENSMUSG00000022877   768    79.2
54 NC_051074.1  33142124  33171172 ENSMUSG00000026249  1042    94.2
55 NC_051074.1  40982795  41054041 ENSMUSG00000026193  6821    96.6
56 NC_051075.1  75488786  75540536 ENSMUSG00000021262  1184    98.7
57 NC_051076.1  27602063  27630200 ENSMUSG00000038235   681    89.6
58 NC_051076.1  27824166  27827524 ENSMUSG00000058715   159    91.7
59 NC_051076.1  34846226  34870220 ENSMUSG00000026580  1455    83.2
60 NC_051076.1  39587949  39702085 ENSMUSG00000056220  2098    97.4
61 NC_051076.1  48611744  49140870 ENSMUSG00000026365  1548    77.3
62 NC_051077.1  54763251  54771055 ENSMUSG00000031849  2054    95.9
63 NC_051079.1  49538531  49539785 ENSMUSG00000045730  1092    93.6
64 NC_051080.1  36877181  36893087 ENSMUSG00000000489   640    94.7
65 NC_051080.1  46518798  46551805 ENSMUSG00000022297  1603    88.1
66 NC_051081.1   1804412   1828880 ENSMUSG00000034902  1839    97.5
67 NC_051082.1  13038286  13050147 ENSMUSG00000042594  1330    91.3
68 NC_051082.1  41651889  41668394 ENSMUSG00000025856   594    98.4
69 NC_051083.1  16223942  16227216 ENSMUSG00000031162   991    91.4
70 NC_051083.1 105337087 105338041 ENSMUSG00000048970   863    95.6
71 NC_051083.1 119720563 119732373 ENSMUSG00000031132   512    83.1
72 NC_051084.1   4243476   4250206 ENSMUSG00000023993   518    82.4
73 NC_051084.1   6143635   6150368 ENSMUSG00000015605  1406    97.5
74 NC_051086.1  23551446  23598357 ENSMUSG00000057880  1379    96.7
75 NC_051086.1  41950507  41995840 ENSMUSG00000009900  1047    99.8
76 NC_051086.1  53208280  53220284 ENSMUSG00000000320  1666    92.3
77 NC_051086.1  53674940  53677031 ENSMUSG00000050675  1012    78.9
78 NC_051086.1  56614553  56627921 ENSMUSG00000020787  1116    97.2
79 NC_051086.1  82888067  82924086 ENSMUSG00000020611  1110    99.3
80 NC_051086.1  83945552  84343003 ENSMUSG00000050965  1986    99.8
81 NC_051086.1  87774898  87832251 ENSMUSG00000020689  2095    94.8
82 NC_051086.1  89976324  89992772 ENSMUSG00000034664  2227    86.9
83 NC_051086.1 102900198 102904861 ENSMUSG00000017446   662    91.2
