Sequence name  	Length (bp) including gaps  	alias sequence names  
NC_051063.1	193,658,164  	chr1, CM026041.1, 1
NC_051065.1	159,738,685  	chr3, CM026043.1, 3
NC_051064.1	154,649,009  	chr2, CM026042.1, 2
NC_051066.1	151,869,327  	chr4, CM026044.1, 4
NC_051067.1	145,700,154  	chr5, CM026045.1, 5
NC_051083.1	138,232,706  	chrX, X, CM026061.1
NC_051068.1	133,087,326  	chr6, CM026046.1, 6
NC_051069.1	118,845,208  	chr7, CM026047.1, 7
NC_051070.1	114,273,790  	chr9, CM026048.1, 9
NC_051086.1	106,604,048  	chr8b, CM026064.1, 8b
NC_051071.1	93,642,674  	chr10, CM026049.1, 10
NC_051075.1	91,293,109  	chr14, CM026053.1, 14
NC_051076.1	90,487,634  	chr15, CM026054.1, 15
NC_051079.1	84,080,322  	chr19, CM026057.1, 19
NC_051073.1	83,119,451  	chr12, CM026051.1, 12
NC_051084.1	79,846,141  	chr16_21, CM026062.1, 16_21
NC_051072.1	69,407,300  	chr11, CM026050.1, 11
NC_051074.1	66,178,483  	chr13, CM026052.1, 13
NC_051080.1	65,585,891  	chr20, CM026058.1, 20
NC_051085.1	58,348,646  	chr8a, CM026063.1, 8a
NC_051081.1	56,493,492  	chr22, CM026059.1, 22
NC_051077.1	56,153,843  	chr17, CM026055.1, 17
NC_051078.1	47,548,717  	chr18, CM026056.1, 18
NC_051082.1	46,490,564  	chr23, CM026060.1, 23
